Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
307092,2025-02,42609,15826,18.13,642,Paid in Full,Current,757,79.84,No
307093,2025-02,47288,44668,12.81,863,Partial Payment,Current,783,13.69,No
307094,2025-02,28087,34157,22.5,331,Partial Payment,Current,775,25.75,No
307095,2025-02,7546,4528,11.51,75,Paid in Full,Current,768,92.06,No
307096,2025-02,12607,20457,18.31,474,Paid in Full,Current,812,6.06,No
307097,2025-02,29308,1185,20.83,101,Missed Payment,Current,702,17.35,No
307098,2025-02,44186,2365,14.22,425,Paid in Full,Current,753,12.85,No
307099,2025-02,23556,40113,19.96,350,Paid in Full,Current,570,15.2,No
307100,2025-02,46541,44187,21.72,594,Paid in Full,Current,645,77.36,Yes
307101,2025-02,13523,5477,11.29,620,Paid in Full,30 Days,565,19.46,No
307102,2025-02,11201,23329,12.05,861,Partial Payment,Current,794,78.13,No
307103,2025-02,44800,7326,10.17,339,Partial Payment,Current,624,46.36,No
307104,2025-02,5548,35251,17.34,224,Partial Payment,Current,798,94.07,No
307105,2025-02,9059,6495,22.25,974,Paid in Full,Current,785,75.8,No
307106,2025-02,15831,4046,10.96,140,Partial Payment,Current,506,58.32,No
307107,2025-02,22219,41014,10.42,742,Paid in Full,30 Days,577,88.6,No
307108,2025-02,39014,38784,13.03,420,Paid in Full,Current,758,92.26,No
307109,2025-02,20179,17170,16.17,859,Paid in Full,Current,770,16.31,No
307110,2025-02,20197,10701,23.56,359,Paid in Full,Current,772,13.87,No
307111,2025-02,45005,17812,12.17,450,Partial Payment,Current,502,5.3,No
307112,2025-02,19770,40539,12.01,611,Paid in Full,Current,600,89.33,No
307113,2025-02,9818,7457,10.19,759,Paid in Full,Current,545,18.77,No
307114,2025-02,20998,13249,19.12,603,Partial Payment,Current,779,66.56,No
307115,2025-02,33411,29997,19.58,548,Paid in Full,Current,541,45.66,No
307116,2025-02,16218,1939,19.91,630,Partial Payment,Current,654,23.73,No
307117,2025-02,41783,37633,14.63,571,Paid in Full,Current,699,38.86,No
307118,2025-02,1576,30510,22.26,688,Paid in Full,Current,560,48.87,No
307119,2025-02,2998,19410,13.88,559,Paid in Full,Current,833,22.07,No
307120,2025-02,7483,1968,10.0,244,Paid in Full,Current,509,60.9,No
307121,2025-02,30456,768,12.13,542,Paid in Full,Current,552,42.73,No
307122,2025-02,34709,36977,15.74,883,Partial Payment,Current,585,50.52,No
307123,2025-02,1267,41697,19.86,458,Paid in Full,30 Days,575,57.48,No
307124,2025-02,5467,30949,18.92,820,Paid in Full,30 Days,686,19.83,No
307125,2025-02,24761,32729,12.45,509,Paid in Full,Current,643,77.03,No
307126,2025-02,22810,29532,16.63,184,Paid in Full,Current,541,29.92,No
307127,2025-02,21121,44603,19.8,562,Partial Payment,Current,798,41.55,No
307128,2025-02,39865,832,15.74,775,Paid in Full,Current,752,40.03,No
307129,2025-02,48807,17777,10.76,487,Partial Payment,Current,847,12.71,No
307130,2025-02,1317,10999,21.96,822,Paid in Full,Current,539,77.1,No
307131,2025-02,48539,4322,19.29,824,Paid in Full,30 Days,608,36.04,No
307132,2025-02,7687,33329,24.99,849,Paid in Full,Current,710,21.13,No
307133,2025-02,32718,14685,16.79,966,Partial Payment,Current,713,19.86,No
307134,2025-02,30418,37039,14.06,412,Partial Payment,Current,684,17.34,No
307135,2025-02,3192,6388,24.86,148,Missed Payment,30 Days,594,92.57,No
307136,2025-02,43067,18488,22.7,514,Partial Payment,Current,627,49.01,No
307137,2025-02,34015,32466,24.48,600,Partial Payment,Current,719,50.48,No
307138,2025-02,10034,22303,17.7,912,Partial Payment,Current,770,30.08,No
307139,2025-02,41051,18511,16.91,769,Paid in Full,Current,793,83.66,No
307140,2025-02,1607,35363,13.35,423,Paid in Full,Current,734,52.02,No
307141,2025-02,28250,22344,16.16,402,Paid in Full,Current,662,14.22,No
307142,2025-02,25588,39264,10.03,462,Paid in Full,Current,786,21.31,No
307143,2025-02,42625,41007,24.28,867,Paid in Full,Current,550,17.8,No
307144,2025-02,1699,26542,21.59,993,Paid in Full,Current,840,36.18,No
307145,2025-02,38806,43290,19.56,460,Paid in Full,Current,569,48.94,No
307146,2025-02,2024,31563,21.87,368,Paid in Full,Current,523,93.77,No
307147,2025-02,39862,1750,15.12,927,Partial Payment,Current,800,22.84,No
307148,2025-02,40770,20899,18.66,544,Paid in Full,Current,681,46.77,No
307149,2025-02,47019,28127,17.19,821,Partial Payment,Current,607,78.31,No
307150,2025-02,40270,26331,15.03,465,Partial Payment,Current,588,74.41,No
307151,2025-02,44862,31145,15.96,106,Paid in Full,30 Days,842,52.7,No
307152,2025-02,10431,33191,21.09,909,Paid in Full,Current,744,39.99,No
307153,2025-02,46741,43932,20.58,413,Paid in Full,Current,589,40.31,No
307154,2025-02,15057,13143,20.49,237,Paid in Full,Current,606,45.42,No
307155,2025-02,43073,10903,13.26,355,Paid in Full,Current,812,84.33,No
307156,2025-02,21787,27236,19.55,809,Paid in Full,Current,569,42.23,Yes
307157,2025-02,14733,4198,13.54,730,Paid in Full,Current,723,82.75,No
307158,2025-02,4107,16103,14.44,385,Missed Payment,Current,748,32.32,No
307159,2025-02,40736,11776,20.1,551,Paid in Full,Current,792,46.41,No
307160,2025-02,16302,17054,24.6,122,Paid in Full,Current,810,39.92,No
307161,2025-02,20809,31893,15.5,124,Partial Payment,60 Days,579,26.24,Yes
307162,2025-02,6066,37694,12.68,74,Paid in Full,Current,729,32.47,No
307163,2025-02,7794,24187,10.31,149,Paid in Full,Current,832,38.75,No
307164,2025-02,39144,11907,15.91,356,Paid in Full,Current,605,27.23,No
307165,2025-02,32960,34876,13.29,170,Paid in Full,Current,740,38.01,No
307166,2025-02,4632,41559,14.3,104,Paid in Full,Current,836,58.79,No
307167,2025-02,16723,40356,22.33,994,Partial Payment,Current,616,56.56,No
307168,2025-02,6354,42615,16.55,736,Missed Payment,Current,510,27.66,No
307169,2025-02,15169,8605,19.54,517,Paid in Full,Current,822,83.2,No
307170,2025-02,9024,24654,17.15,782,Paid in Full,Current,511,83.94,No
307171,2025-02,7686,25705,13.76,855,Partial Payment,Current,809,27.36,No
307172,2025-02,47401,16086,14.15,957,Paid in Full,Current,697,91.26,No
307173,2025-02,13933,23354,23.98,457,Paid in Full,Current,716,41.04,Yes
307174,2025-02,7470,30612,21.12,384,Paid in Full,Current,802,39.05,No
307175,2025-02,22573,20535,19.47,543,Missed Payment,Current,575,57.83,No
307176,2025-02,37796,24201,18.91,742,Partial Payment,Current,569,77.71,No
307177,2025-02,1885,1826,21.18,206,Paid in Full,Current,659,12.07,No
307178,2025-02,40979,35834,21.14,785,Paid in Full,Current,597,24.65,No
307179,2025-02,47787,14609,23.23,279,Paid in Full,Current,534,69.16,No
307180,2025-02,48947,6324,19.38,836,Paid in Full,Current,712,94.22,No
307181,2025-02,38203,5203,16.45,196,Partial Payment,Current,753,49.63,No
307182,2025-02,12166,24505,11.04,459,Paid in Full,Current,547,35.23,No
307183,2025-02,37630,31383,24.7,159,Paid in Full,Current,657,6.27,No
307184,2025-02,24878,24346,11.99,133,Paid in Full,Current,603,40.28,No
307185,2025-02,7314,15219,10.07,624,Paid in Full,Current,748,69.17,No
307186,2025-02,3881,12961,24.62,994,Paid in Full,Current,638,77.61,No
307187,2025-02,2448,28638,21.65,515,Paid in Full,Current,511,16.01,No
307188,2025-02,17423,27555,19.14,687,Paid in Full,Current,792,18.72,No
307189,2025-02,35294,40320,19.63,646,Partial Payment,30 Days,626,28.51,No
307190,2025-02,3969,36867,15.44,308,Partial Payment,Current,595,21.24,No
307191,2025-02,12668,8277,15.46,319,Paid in Full,Current,526,79.52,No
307192,2025-02,2577,27259,16.34,121,Paid in Full,Current,840,91.06,No
307193,2025-02,3010,34530,13.27,256,Paid in Full,Current,693,7.61,No
307194,2025-02,47742,8094,16.55,599,Paid in Full,Current,835,13.43,No
307195,2025-02,40799,10401,23.35,570,Paid in Full,60 Days,665,42.64,No
307196,2025-02,19490,41668,10.77,421,Paid in Full,Current,559,61.56,No
307197,2025-02,23650,6804,24.84,516,Paid in Full,Current,663,24.97,No
307198,2025-02,25931,33730,17.51,664,Paid in Full,Current,550,80.24,No
307199,2025-02,17609,43120,14.3,751,Paid in Full,Current,829,30.51,No
307200,2025-02,35932,12298,23.22,153,Paid in Full,Current,816,61.41,No
307201,2025-02,18424,41641,23.31,166,Paid in Full,Current,605,50.71,No
307202,2025-02,49001,39612,14.43,391,Paid in Full,Current,716,15.26,No
307203,2025-02,26076,14236,15.55,966,Paid in Full,Current,573,17.39,No
307204,2025-02,1739,5332,20.91,142,Partial Payment,Current,537,76.72,No
307205,2025-02,28693,21654,20.77,454,Paid in Full,Current,802,45.39,No
307206,2025-02,30765,7557,12.28,868,Paid in Full,Current,648,93.47,No
307207,2025-02,16005,17720,17.52,883,Paid in Full,30 Days,817,78.53,No
307208,2025-02,45877,23575,20.82,108,Paid in Full,Current,764,41.83,No
307209,2025-02,39529,2759,20.15,175,Partial Payment,Current,703,40.51,No
307210,2025-02,28230,38627,18.92,54,Partial Payment,Current,501,52.51,No
307211,2025-02,24731,9738,20.78,496,Paid in Full,Current,648,10.13,No
307212,2025-02,17653,23138,15.28,699,Paid in Full,Current,848,19.94,No
307213,2025-02,17139,10991,14.52,405,Paid in Full,Current,821,92.85,No
307214,2025-02,47975,14861,20.4,54,Partial Payment,Current,616,30.17,No
307215,2025-02,24633,13870,15.74,375,Paid in Full,Current,635,14.8,No
307216,2025-02,22761,29927,18.48,915,Paid in Full,Current,509,40.57,No
307217,2025-02,32100,16502,13.22,463,Missed Payment,Current,626,94.01,No
307218,2025-02,29893,41348,19.75,960,Paid in Full,Current,592,41.9,No
307219,2025-02,42376,7514,10.21,251,Paid in Full,Current,621,12.85,No
307220,2025-02,10962,12352,23.01,380,Paid in Full,Current,816,30.72,No
307221,2025-02,11154,5973,12.23,271,Partial Payment,60 Days,730,12.8,No
307222,2025-02,31894,26311,11.06,992,Paid in Full,Current,558,63.7,No
307223,2025-02,8286,9276,18.51,648,Paid in Full,Current,507,65.84,No
307224,2025-02,7171,14237,21.75,658,Paid in Full,Current,664,18.95,No
307225,2025-02,26063,29008,21.84,852,Paid in Full,Current,771,31.7,No
307226,2025-02,26810,44005,23.77,161,Partial Payment,Current,706,44.06,No
307227,2025-02,49068,3855,22.23,444,Paid in Full,Current,566,85.32,No
307228,2025-02,45489,36219,15.05,570,Paid in Full,Current,505,81.61,Yes
307229,2025-02,3111,44917,14.89,596,Paid in Full,Current,835,51.95,No
307230,2025-02,34757,1834,15.82,950,Paid in Full,Current,589,26.98,No
307231,2025-02,23693,3078,18.25,365,Paid in Full,Current,731,28.87,No
307232,2025-02,11879,15968,13.06,290,Paid in Full,Current,615,52.41,No
307233,2025-02,32956,13583,10.67,841,Paid in Full,Current,518,10.73,No
307234,2025-02,30682,27684,20.35,68,Partial Payment,Current,633,6.64,No
307235,2025-02,8099,39011,20.39,440,Paid in Full,Current,507,25.37,No
307236,2025-02,35768,1622,16.51,599,Paid in Full,Current,542,19.9,No
307237,2025-02,48645,34097,17.85,888,Paid in Full,Current,686,62.88,No
307238,2025-02,17713,11947,24.68,807,Missed Payment,Current,725,89.92,No
307239,2025-02,20617,8157,16.67,801,Partial Payment,Current,712,73.46,No
307240,2025-02,46549,42454,12.45,747,Paid in Full,Current,511,15.84,No
307241,2025-02,21078,18146,11.1,222,Paid in Full,30 Days,747,63.7,No
307242,2025-02,37205,40302,19.58,510,Paid in Full,Current,691,50.09,No
307243,2025-02,47447,5766,16.6,505,Paid in Full,Current,810,21.89,No
307244,2025-02,10188,6764,23.29,581,Paid in Full,Current,631,65.33,No
307245,2025-02,30852,35375,21.77,489,Paid in Full,Current,523,44.58,No
307246,2025-02,21224,12047,19.47,357,Paid in Full,Current,547,54.47,No
307247,2025-02,39774,40493,21.7,65,Partial Payment,Current,610,27.81,No
307248,2025-02,10168,39402,12.56,179,Paid in Full,Current,706,79.61,No
307249,2025-02,7435,14515,14.18,985,Paid in Full,Current,833,90.77,No
307250,2025-02,7420,21010,10.6,342,Paid in Full,Current,569,51.92,No
307251,2025-02,10147,42207,15.08,903,Paid in Full,30 Days,833,40.91,No
307252,2025-02,34787,1120,17.65,82,Paid in Full,Current,847,56.51,No
307253,2025-02,13466,21777,10.63,846,Paid in Full,Current,747,19.22,No
307254,2025-02,22459,13837,13.92,387,Partial Payment,60 Days,840,84.42,No
307255,2025-02,35697,21794,14.27,341,Paid in Full,Current,768,69.05,No
307256,2025-02,25820,34225,24.02,80,Paid in Full,Current,641,92.72,No
307257,2025-02,4156,12891,11.82,976,Partial Payment,30 Days,587,92.0,No
307258,2025-02,46042,1609,20.27,365,Paid in Full,30 Days,762,93.76,No
307259,2025-02,38211,24613,12.27,859,Paid in Full,Current,757,57.03,No
307260,2025-02,15617,12731,17.15,786,Paid in Full,Current,644,83.28,No
307261,2025-02,7174,10132,13.24,385,Partial Payment,Current,758,58.77,No
307262,2025-02,47411,21820,22.04,945,Paid in Full,Current,661,16.63,No
307263,2025-02,8592,11397,24.86,430,Paid in Full,Current,776,57.59,No
307264,2025-02,35578,44811,17.92,592,Partial Payment,Current,697,91.11,No
307265,2025-02,38997,39517,18.58,971,Paid in Full,Current,765,14.24,No
307266,2025-02,43042,4196,22.91,701,Paid in Full,Current,615,67.41,No
307267,2025-02,49305,13822,15.63,94,Paid in Full,Current,676,59.95,No
307268,2025-02,5986,12363,22.14,447,Paid in Full,Current,521,79.63,No
307269,2025-02,38163,7886,11.04,398,Paid in Full,90+ Days,643,15.96,No
307270,2025-02,42812,23237,15.64,317,Paid in Full,Current,768,37.94,No
307271,2025-02,48969,35434,24.04,553,Partial Payment,Current,584,48.18,No
307272,2025-02,48859,29754,18.59,535,Partial Payment,Current,727,21.44,No
307273,2025-02,15253,21739,21.54,120,Paid in Full,Current,780,28.92,No
307274,2025-02,2624,23107,17.45,608,Paid in Full,Current,674,17.51,No
307275,2025-02,7732,21363,20.76,617,Paid in Full,Current,578,94.34,No
307276,2025-02,5518,33691,20.73,292,Paid in Full,30 Days,685,25.8,No
307277,2025-02,28260,25392,12.62,57,Paid in Full,Current,664,16.02,No
307278,2025-02,11376,27035,16.7,636,Partial Payment,Current,660,89.02,No
307279,2025-02,47680,28003,16.17,241,Partial Payment,Current,531,20.08,No
307280,2025-02,7261,17061,16.38,424,Paid in Full,Current,838,31.48,No
307281,2025-02,31489,39677,12.16,893,Paid in Full,Current,575,89.38,No
307282,2025-02,7972,20724,10.91,647,Partial Payment,Current,501,57.72,No
307283,2025-02,13265,20654,14.7,884,Paid in Full,Current,522,62.69,No
307284,2025-02,3719,21601,22.77,719,Missed Payment,Current,821,9.49,No
307285,2025-02,20107,502,18.49,654,Partial Payment,Current,812,53.16,No
307286,2025-02,10567,18761,23.29,364,Paid in Full,Current,724,26.58,No
307287,2025-02,13077,20630,13.64,633,Paid in Full,Current,517,32.97,No
307288,2025-02,46016,20818,23.53,112,Missed Payment,Current,831,9.21,No
307289,2025-02,4065,42990,10.71,629,Paid in Full,Current,716,8.42,Yes
307290,2025-02,38132,24858,14.13,197,Paid in Full,Current,696,53.3,No
307291,2025-02,25722,37258,22.67,451,Paid in Full,Current,582,82.05,No
307292,2025-02,49020,42992,14.37,271,Paid in Full,Current,630,54.87,No
307293,2025-02,4888,31798,22.03,424,Paid in Full,Current,700,80.32,No
307294,2025-02,36708,3211,11.23,827,Partial Payment,Current,693,17.72,No
307295,2025-02,22736,28739,21.15,707,Paid in Full,Current,703,33.07,No
307296,2025-02,34178,15076,18.09,426,Paid in Full,Current,688,42.15,No
307297,2025-02,5909,27391,11.38,756,Partial Payment,Current,548,22.34,No
307298,2025-02,44466,40327,18.99,723,Partial Payment,Current,626,29.54,No
307299,2025-02,47957,21505,11.38,90,Partial Payment,Current,722,84.65,No
307300,2025-02,28601,44675,18.38,378,Paid in Full,Current,587,49.79,No
307301,2025-02,32529,23140,11.31,561,Partial Payment,Current,610,79.56,No
307302,2025-02,31944,25944,18.75,535,Partial Payment,Current,626,74.99,No
307303,2025-02,45079,43131,19.84,449,Paid in Full,Current,572,33.53,No
307304,2025-02,24781,30136,13.25,93,Partial Payment,Current,712,34.66,No
307305,2025-02,33951,2876,15.59,349,Paid in Full,Current,573,75.07,No
307306,2025-02,22693,5751,24.68,808,Paid in Full,Current,764,16.03,No
307307,2025-02,35186,26711,23.67,196,Partial Payment,Current,686,71.66,No
307308,2025-02,34702,38209,16.9,916,Paid in Full,Current,816,54.6,No
307309,2025-02,37905,34483,21.98,759,Missed Payment,Current,619,59.17,No
307310,2025-02,3219,28676,10.85,428,Paid in Full,Current,505,19.23,No
307311,2025-02,22645,12230,22.45,585,Paid in Full,Current,588,22.81,No
307312,2025-02,5555,29641,10.55,112,Paid in Full,Current,572,74.89,No
307313,2025-02,12519,13272,19.02,64,Paid in Full,Current,618,43.78,No
307314,2025-02,31877,21042,15.69,119,Paid in Full,Current,812,67.66,No
307315,2025-02,21232,15555,23.97,315,Partial Payment,Current,570,17.99,No
307316,2025-02,30740,27737,21.0,363,Paid in Full,Current,569,18.52,No
307317,2025-02,36591,19411,23.77,935,Missed Payment,Current,579,80.82,No
307318,2025-02,15381,14810,24.65,794,Paid in Full,Current,553,53.9,No
307319,2025-02,35831,37610,11.85,406,Paid in Full,Current,524,26.19,No
307320,2025-02,27701,23720,20.26,653,Partial Payment,Current,828,33.18,No
307321,2025-02,19962,4007,18.05,242,Partial Payment,Current,560,85.29,No
307322,2025-02,7272,34514,14.38,389,Missed Payment,Current,521,42.22,No
307323,2025-02,48432,4555,18.33,560,Paid in Full,Current,792,33.73,No
307324,2025-02,11254,18374,20.85,924,Partial Payment,30 Days,552,30.5,No
307325,2025-02,46718,19746,11.28,378,Partial Payment,Current,779,60.37,No
307326,2025-02,5850,31913,15.97,485,Partial Payment,Current,636,62.99,No
307327,2025-02,41585,20810,23.68,901,Partial Payment,Current,748,32.26,No
307328,2025-02,44682,22017,15.27,894,Paid in Full,Current,807,44.71,Yes
307329,2025-02,49635,33209,23.87,389,Paid in Full,Current,600,49.9,No
307330,2025-02,22828,42261,14.08,540,Paid in Full,60 Days,677,75.26,No
307331,2025-02,8946,18872,15.28,647,Partial Payment,Current,507,54.7,No
307332,2025-02,46704,34612,19.96,447,Paid in Full,Current,547,72.82,No
307333,2025-02,21354,19066,10.34,449,Paid in Full,Current,706,9.42,No
307334,2025-02,17936,18191,14.1,158,Paid in Full,Current,742,18.53,No
307335,2025-02,37465,2769,11.15,78,Paid in Full,Current,745,77.09,No
307336,2025-02,10300,11360,19.39,108,Paid in Full,Current,592,41.36,No
307337,2025-02,45113,39058,20.14,564,Paid in Full,Current,808,70.05,No
307338,2025-02,12289,4615,23.93,800,Paid in Full,Current,654,78.88,No
307339,2025-02,41698,17057,23.19,331,Partial Payment,90+ Days,608,42.31,No
307340,2025-02,47438,33537,17.95,852,Paid in Full,Current,791,70.12,No
307341,2025-02,13231,21052,10.79,107,Partial Payment,Current,809,34.83,No
307342,2025-02,42823,16874,17.02,535,Paid in Full,Current,660,59.9,No
307343,2025-02,5770,15524,19.04,721,Partial Payment,Current,661,85.26,No
307344,2025-02,40659,21104,18.13,689,Paid in Full,30 Days,767,17.52,No
307345,2025-02,33611,24112,10.46,535,Paid in Full,Current,546,57.29,No
307346,2025-02,7795,10930,15.28,382,Paid in Full,Current,791,61.82,No
307347,2025-02,42289,5334,18.06,120,Paid in Full,Current,566,60.66,No
307348,2025-02,16035,30414,22.12,598,Paid in Full,Current,556,31.2,No
307349,2025-02,41857,43468,18.86,818,Paid in Full,Current,724,37.16,No
307350,2025-02,32181,14191,18.65,604,Paid in Full,Current,621,5.14,No
307351,2025-02,38037,34686,14.21,261,Paid in Full,Current,629,52.45,No
307352,2025-02,43685,13985,10.96,252,Paid in Full,Current,708,71.54,No
307353,2025-02,48139,34307,17.29,500,Partial Payment,Current,643,14.62,No
307354,2025-02,9923,1521,23.27,701,Paid in Full,Current,526,15.76,No
307355,2025-02,44534,39996,13.36,341,Partial Payment,Current,638,10.74,No
307356,2025-02,5058,6444,22.33,922,Missed Payment,Current,673,23.89,No
307357,2025-02,2655,2877,17.67,902,Paid in Full,Current,579,74.03,Yes
307358,2025-02,49314,26174,21.0,732,Missed Payment,Current,772,75.21,No
307359,2025-02,7340,3022,19.78,460,Paid in Full,Current,791,28.52,No
307360,2025-02,29011,27717,11.57,878,Missed Payment,Current,730,38.94,No
307361,2025-02,9581,20760,12.47,104,Missed Payment,Current,827,36.2,No
307362,2025-02,21229,15167,21.25,985,Partial Payment,Current,798,60.61,No
307363,2025-02,2265,18640,18.33,232,Partial Payment,Current,542,11.47,No
307364,2025-02,35094,21530,19.71,99,Partial Payment,Current,608,8.65,Yes
307365,2025-02,4188,22510,11.59,880,Paid in Full,Current,838,28.65,No
307366,2025-02,18719,40161,18.63,434,Paid in Full,Current,567,12.13,No
307367,2025-02,23132,21399,21.7,618,Paid in Full,Current,659,30.69,No
307368,2025-02,49065,24990,10.12,524,Paid in Full,Current,615,22.92,No
307369,2025-02,43932,11338,15.88,900,Paid in Full,30 Days,591,56.63,No
307370,2025-02,8236,4598,24.29,667,Paid in Full,Current,659,29.95,No
307371,2025-02,4531,504,13.98,898,Paid in Full,Current,500,70.29,No
307372,2025-02,42350,41744,22.59,594,Partial Payment,Current,534,64.17,No
307373,2025-02,13818,15284,17.47,764,Paid in Full,Current,646,93.69,No
307374,2025-02,45440,28188,11.9,864,Paid in Full,Current,691,11.99,Yes
307375,2025-02,33772,18957,19.83,418,Partial Payment,Current,573,87.22,No
307376,2025-02,27844,27536,22.5,850,Paid in Full,Current,599,23.07,No
307377,2025-02,30418,20227,14.66,885,Paid in Full,Current,566,40.58,No
307378,2025-02,40914,3770,15.09,620,Paid in Full,Current,848,13.22,No
307379,2025-02,32093,39626,18.99,927,Paid in Full,Current,807,21.79,No
307380,2025-02,5016,20344,13.67,841,Paid in Full,30 Days,517,87.1,No
307381,2025-02,33089,18225,17.55,313,Paid in Full,Current,571,35.65,No
307382,2025-02,28144,19702,23.88,178,Paid in Full,Current,778,21.65,No
307383,2025-02,44106,20296,13.45,827,Partial Payment,Current,599,81.58,No
307384,2025-02,35006,18207,22.75,884,Paid in Full,Current,501,67.08,No
307385,2025-02,22801,16354,14.79,514,Paid in Full,Current,826,23.23,No
307386,2025-02,40771,27961,18.5,724,Paid in Full,30 Days,582,82.38,Yes
307387,2025-02,19222,41590,13.0,794,Paid in Full,Current,510,35.97,No
307388,2025-02,30844,31805,13.51,938,Partial Payment,Current,611,18.14,No
307389,2025-02,11643,1455,12.21,742,Paid in Full,Current,718,85.59,No
307390,2025-02,3745,13661,20.56,564,Paid in Full,Current,773,76.68,No
307391,2025-02,1892,26942,21.49,710,Paid in Full,Current,794,79.48,No
307392,2025-02,39457,16459,14.86,303,Partial Payment,Current,603,35.27,No
307393,2025-02,27897,31520,15.65,736,Partial Payment,Current,751,58.9,No
307394,2025-02,46899,33126,23.02,868,Paid in Full,Current,646,15.71,No
307395,2025-02,15891,43987,21.01,973,Paid in Full,Current,561,93.69,No
307396,2025-02,38400,43580,21.12,197,Missed Payment,90+ Days,822,68.41,No
307397,2025-02,33092,22772,23.95,645,Partial Payment,Current,616,44.22,No
307398,2025-02,17371,32991,15.35,757,Paid in Full,Current,532,44.13,No
307399,2025-02,20158,22805,20.93,844,Paid in Full,Current,654,29.95,No
307400,2025-02,7656,34643,10.72,472,Missed Payment,Current,745,57.72,No
307401,2025-02,27021,39362,18.36,278,Paid in Full,Current,789,70.35,No
307402,2025-02,35470,18943,13.32,91,Paid in Full,Current,602,31.54,No
307403,2025-02,8794,16678,12.44,783,Partial Payment,Current,760,22.68,No
307404,2025-02,34037,24562,24.64,848,Partial Payment,Current,625,72.61,No
307405,2025-02,7494,36689,11.72,396,Partial Payment,Current,679,50.4,No
307406,2025-02,15630,31961,10.54,143,Paid in Full,Current,700,74.43,No
307407,2025-02,5680,2947,10.27,421,Paid in Full,60 Days,579,28.94,No
307408,2025-02,23184,21637,21.55,927,Paid in Full,Current,766,11.99,No
307409,2025-02,47310,5737,14.94,478,Partial Payment,Current,837,50.2,No
307410,2025-02,11936,9949,23.88,298,Paid in Full,Current,529,35.6,No
307411,2025-02,28104,28782,23.23,478,Paid in Full,90+ Days,762,9.31,No
307412,2025-02,5550,17034,17.16,296,Paid in Full,Current,789,23.27,No
307413,2025-02,24756,36429,11.81,67,Paid in Full,Current,824,13.73,No
307414,2025-02,5035,23917,19.44,279,Paid in Full,30 Days,622,40.78,No
307415,2025-02,40158,11419,16.65,702,Paid in Full,Current,764,74.93,No
307416,2025-02,30511,23617,17.36,200,Paid in Full,Current,688,72.13,No
307417,2025-02,29390,11721,17.67,624,Paid in Full,Current,750,61.92,No
307418,2025-02,41068,8645,24.9,519,Missed Payment,Current,836,21.12,No
307419,2025-02,8937,16007,10.14,152,Paid in Full,Current,801,92.22,No
307420,2025-02,36168,1061,18.95,972,Paid in Full,Current,740,90.83,No
307421,2025-02,11649,27683,17.63,362,Partial Payment,Current,634,76.85,No
307422,2025-02,47347,35017,17.14,758,Paid in Full,30 Days,644,72.45,No
307423,2025-02,48190,29560,12.24,547,Paid in Full,Current,801,72.3,No
307424,2025-02,6724,30022,15.12,714,Paid in Full,Current,805,81.48,No
307425,2025-02,35447,3992,19.84,737,Paid in Full,Current,719,11.69,No
307426,2025-02,43780,11701,15.84,612,Paid in Full,30 Days,672,66.85,No
307427,2025-02,34881,14316,16.52,714,Paid in Full,Current,692,53.09,No
307428,2025-02,35488,26756,21.14,102,Partial Payment,Current,553,69.33,No
307429,2025-02,35543,4356,12.26,360,Partial Payment,Current,553,25.66,No
307430,2025-02,1576,40770,12.24,836,Paid in Full,Current,648,89.83,No
307431,2025-02,22640,17861,16.26,264,Paid in Full,Current,663,33.26,No
307432,2025-02,39565,33471,14.52,304,Missed Payment,Current,757,6.3,No
307433,2025-02,5200,30825,16.08,371,Partial Payment,Current,769,63.81,No
307434,2025-02,48821,21027,21.03,245,Paid in Full,Current,589,91.91,No
307435,2025-02,22886,24994,17.25,497,Paid in Full,Current,613,58.57,No
307436,2025-02,39112,16813,10.42,947,Paid in Full,Current,700,49.13,No
307437,2025-02,30111,26196,22.0,214,Missed Payment,Current,770,12.49,No
307438,2025-02,1263,8492,11.37,846,Paid in Full,Current,770,78.6,No
307439,2025-02,32887,7099,23.67,339,Paid in Full,Current,627,92.64,No
307440,2025-02,29042,40150,12.51,759,Paid in Full,Current,573,10.38,No
307441,2025-02,21090,21971,11.02,322,Missed Payment,Current,649,92.95,Yes
307442,2025-02,1934,42271,16.74,812,Paid in Full,Current,637,53.56,No
307443,2025-02,31681,35595,16.34,428,Paid in Full,Current,660,16.86,No
307444,2025-02,49671,6640,22.38,666,Paid in Full,Current,638,43.02,No
307445,2025-02,48094,31391,23.81,839,Paid in Full,Current,541,30.07,No
307446,2025-02,21450,40919,24.95,866,Paid in Full,Current,608,41.39,No
307447,2025-02,42171,10382,12.28,659,Paid in Full,Current,565,56.38,No
307448,2025-02,27649,10899,11.71,982,Paid in Full,Current,501,19.52,No
307449,2025-02,5824,35518,18.87,393,Missed Payment,Current,500,13.35,No
307450,2025-02,38989,6528,21.14,143,Paid in Full,Current,612,67.14,No
307451,2025-02,33269,20718,17.69,546,Paid in Full,30 Days,788,64.99,No
307452,2025-02,6673,1259,18.95,62,Paid in Full,Current,674,66.99,No
307453,2025-02,41291,15108,10.76,776,Missed Payment,30 Days,762,52.96,No
307454,2025-02,6977,39650,14.2,503,Paid in Full,Current,801,53.34,No
